id,title,Main Story,Main + Extras,Completionist,All Styles,Co-Op,Vs.,Type,Developers,Publishers,Playable On,Genres,NA,EU,JP
+14039,Blast Off,NA,NA,NA,NA,NA,NA,NA,Halfbrick Studios,NA,NA,Action,"November 24, 2009",NA,NA
+53989,Blast Out,NA,NA,NA,NA,NA,NA,NA,Tarhead Studio,Tarhead Studio,NA,"Top-Down, Action","September 21, 2017","September 21, 2017",NA
+25145,Blast Radius (1998),NA,NA,NA,NA,NA,NA,NA,Camden Studio,Psygnosis,NA,NA,"February 28, 1999",July 1998,NA
+23764,Blast Wind,0.4166666666666667,NA,NA,0.4166666666666667,NA,NA,NA,TechnoSoft,TechnoSoft,Sega Saturn,"Scrolling, Shooter",NA,NA,"January 17, 1997"
+1135,"Blast Works: Build, Trade, Destroy",NA,NA,NA,NA,NA,NA,NA,Budcat Creations,Majesco,NA,Scrolling shooter,"June 10, 2008","April 03, 2009",NA
+64058,Blast Zone! Tournament,NA,NA,NA,NA,NA,NA,NA,Victory Lap Games,Victory Lap Games,NA,NA,"July 31, 2018","July 31, 2018",NA
+45799,Blast-off,NA,NA,NA,NA,NA,NA,NA,Quad-Games,Quad-Games,NA,Action,"March 01, 2017","March 01, 2017",NA
+30651,BlastZone 2,0.43333333333333335,0.5,NA,0.4666666666666667,NA,NA,NA,Matt Edzegna,Black Shell Media,PC,"Top-Down, Scrolling, Shooter","February 15, 2015",NA,NA
+17868,Blasted Fortress,NA,NA,NA,NA,NA,NA,NA,Dapper Swine Games,NA,NA,Action,2013,NA,NA
+61804,Blasted Road Terror,NA,NA,NA,NA,NA,NA,NA,Tryzna83,Tryzna83,NA,NA,"October 06, 2017","October 06, 2017",NA
+21037,Blaster,NA,NA,NA,NA,NA,NA,NA,Vid Kidz,Williams,Arcade,Shooter,1983,NA,NA
+51827,Blaster Cop,NA,NA,NA,NA,NA,NA,NA,Blaster Games Studio,Dagestan Technology,NA,"First-Person, Shooter","October 30, 2017","October 30, 2017",NA
+1136,Blaster Master,4,4,5,4,NA,NA,NA,Sunsoft,Sunsoft,NES/Famicom,"Action, Platform",November 1988,"April 25, 1991","June 17, 1998"
+1137,Blaster Master 2,3,NA,NA,3,NA,NA,NA,Software Creations,Sunsoft,Sega Mega Drive/Genesis,Action,1993,NA,NA
+13780,Blaster Master Boy,1,NA,NA,1,NA,NA,NA,Aicom,Sunsoft,Game Boy,Action,1991,1991,"August 23, 1991"
